symbol,date,open,high,low,close,volume,ma20,ma50,ma200,rsi14,macd_line,macd_signal,macd_hist,bb_upper,bb_lower,bb_mid,daily_ret
NVDA,2025-12-22,183.9199981689453,184.16000366210938,182.35000610351562,183.69000244140625,129064400,179.9205009460449,185.66220123291015,NA,52.43159359779677,-1.1033167660040588,-1.2654959433723165,0.1621791773682577,187.472636657284,172.36836523480582,179.9205009460449,0.014917933953784823
AMZN,2025-12-22,228.61000061035156,229.47999572753906,226.7100067138672,228.42999267578125,32261300,228.4809997558594,229.50800018310548,NA,49.982616509474006,-0.6100856732377702,-0.5732076296393038,-0.03687804359846636,235.6797065577907,221.28229295392808,228.4809997558594,0.00475032567966549
GOOGL,2025-12-22,309.8800048828125,310.1300048828125,305.29998779296875,309.7799987792969,26429900,313.75049896240233,288.99100006103515,NA,55.3185332967724,1.4119372280916531,2.3683996043143356,-0.9564623762226825,327.4757828200556,300.02521510474907,313.75049896240233,0.008529740480370585
META,2025-12-22,661.6500244140625,673.58001708984375,656.6500244140625,661.5,15659400,650.1529998779297,660.3232019042969,NA,54.376785950979105,0.38963968193308496,-0.054653836671741535,0.44429351860482647,676.820579488305,623.4854202675543,650.1529998779297,0.0041440569361255175
TSLA,2025-12-22,489.8800048828125,498.8299865722656,485.3299865722656,488.7300109863281,86916100,451.8690017700195,441.2194012451172,NA,63.86031627742142,3.2365893466189677,2.3148869010732813,0.9217024455456864,496.74168322239615,406.99632031764287,451.8690017700195,0.01564837611861325
JPM,2025-12-22,317.510009765625,323.2300109863281,317.510009765625,323.0899963378906,8354600,312.3684997558594,308.1339990234375,NA,60.81353802665963,0.9738396390351456,0.7407592334445586,0.23308040559058696,325.02768772258577,299.709311789133,312.3684997558594,0.018536632014143795
V,2025-12-22,350,353.44000244140625,349.5899963378906,352.0899963378906,5043500,336.8154998779297,337.8965985107422,NA,67.11077552312585,1.1426340152211667,0.45869517317360076,0.6839388420475659,354.56498606442585,319.06601369143357,336.8154998779297,0.00813170032323729
UNH,2025-12-22,322.8999938964844,329.79998779296875,321.6499938964844,325.1600036621094,7872400,329.9240005493164,336.7293994140625,NA,44.887202742573415,-0.1766498302973818,-0.17432705986744876,-0.0023227704299330354,342.28376526687265,317.5642358317602,329.9240005493164,-0.006902478996213879
XOM,2025-12-22,117.33999633789062,118.45999908447266,117.33999633789062,118.1500015258789,11768600,116.90100059509277,116.01320022583008,NA,54.0047999750945,0.26997004628677157,0.3553365813950951,-0.08536653510832354,119.8476464938027,113.95435469638284,116.90100059509277,0.012511775250032775
LLY,2025-12-22,1076.719970703125,1083.47998046875,1063,1076.47998046875,2625600,1044.7844970703125,960.5522009277344,NA,64.74354186203635,2.3430260338846542,2.470660788034877,-0.12763475415022274,1114.5789778198268,974.9900163207981,1044.7844970703125,0.004703986539726257
JNJ,2025-12-22,206.1300048828125,208.0800018310547,205.5,207.32000732421875,8187800,206.66049880981444,198.08319946289063,NA,56.77770494553271,1.5383785190220545,1.7920159232681794,-0.2536374042461249,213.4716624230707,199.84933519655817,206.66049880981444,0.004603441534665853
WMT,2025-12-22,114.01000213623047,114.31999969482422,112.22000122070312,112.5999984741211,21473900,113.13249969482422,107.66919998168946,NA,53.499790003363216,2.0939247619407686,2.469409148141278,-0.3754843862005095,119.56059420539943,106.70440518424901,113.13249969482422,-0.015390015100010035
MA,2025-12-22,572.22998046875,579.45001220703125,571,575.70001220703125,2500200,553.906494140625,554.5393957519532,NA,63.90969798278788,1.0171181879645497,0.42093460218342377,0.596183585781126,579.7389856011101,528.0740026801399,553.906494140625,0.006064050917847341
PG,2025-12-22,143.7100067138672,144.39999389648438,142.4199981689453,142.69000244140625,11731400,144.64550170898437,147.21940124511718,NA,43.340485069288384,-0.6669363603291623,-0.8651778630256949,0.19824150269653262,150.69212008242044,138.5988833355483,144.64550170898437,-0.012252555656921627
HD,2025-12-22,345.30999755859375,347.8999938964844,343.70001220703125,346.3900146484375,3523700,352.5654983520508,365.22099853515624,NA,41.82703802351508,-1.0013900968249945,-1.1286360009938432,0.12724590416884873,363.696903267917,341.4340934361846,352.5654983520508,0.00402902796648541
MRK,2025-12-22,100.62999725341797,104.94999694824219,100.4000015258789,104.72000122070312,17136200,100.91100044250489,93.32800003051757,NA,67.41556318090504,2.1300089010760193,2.3127652048155642,-0.182756303739545,105.72811976399932,96.09388112101045,100.91100044250489,0.03590864590279841
ORCL,2025-12-22,196.82000732421875,198.8000030517578,192.8300018310547,198.3800048828125,27148000,201.11050033569336,234.83359954833983,NA,43.75452274958491,-5.7045247053960075,-5.7967413975404884,0.09221669214448092,227.15589573818374,175.06510493320297,201.11050033569336,0.03339065281736375
BAC,2025-12-22,55.369998931884766,56.11000061035156,55.34000015258789,55.880001068115234,33408800,54.05000057220459,52.96540023803711,NA,66.08595753947904,1.3192791440428175,1.132400758109934,0.18687838593288353,55.98604829656993,52.11395284783924,54.05000057220459,0.011036739737639634
ABBV,2025-12-22,226.11000061035156,228.64999389648438,224.25,227.91000366210938,4828100,226.13750076293945,226.625,NA,52.88155375952348,-0.194979375820592,-0.22223880546089844,0.02725942964030645,231.31659025714458,220.95841126873432,226.13750076293945,0.004805556400201416
KO,2025-12-22,69.93000030517578,70.220001220703125,69.660003662109375,70.20999908447266,12828500,70.89499893188477,70.19360000610351,NA,47.84962930638824,-0.08885193652581336,0.08596820696266379,-0.17482014348847713,73.06385571847952,68.72614214529003,70.89499893188477,0.002141043835370615
PEP,2025-12-22,147.52999877929688,148.97999572753906,146.41000366210938,147.0500030517578,8818700,148.11749954223632,147.97540008544922,NA,47.130305193538156,0.40487699556002177,0.4537192098235212,-0.04884221426349944,151.96029623622562,144.27470284824702,148.11749954223632,-0.007491904582312303
AVGO,2025-12-22,346.0299987792969,346.239990234375,337.2200012207031,341.45001220703125,28739600,374.426496887207,361.85959899902343,NA,41.86724546189854,-1.8777318471725701,0.042775370276419034,-1.9205072174489892,429.7574364592567,319.0955573151573,374.426496887207,0.0032025705205704913
CVX,2025-12-22,148.80999755859375,150.49000549316406,148.6999969482422,149.8000030517578,8143600,149.80950088500975,152.32040069580077,NA,48.10608308641309,-0.7472983866776306,-0.7412803131229676,-0.006018073554662995,152.8057188814858,146.8132828885337,149.80950088500975,0.013874809148953116
COST,2025-12-22,854,855.5,847.30999755859375,850,2373300,885.7610046386719,908.7390002441406,NA,29.65117707654674,-1.7777385287789493,-1.4018110684128098,-0.37592746036613955,930.0464794945459,841.4755297827979,885.7610046386719,-0.006568330741753892
MCD,2025-12-22,315,318.2699890136719,314.4700012207031,316.2200012207031,2514600,311.62550201416013,307.3223992919922,NA,57.18261079650509,1.0209119062530636,0.8608295008691986,0.16008240538386498,321.6542494719296,301.5967545563907,311.62550201416013,0.0012031563045167282
TMO,2025-12-22,568.83001708984375,576.1500244140625,565.75,575.70001220703125,1108400,576.636508178711,568.5306030273438,NA,53.113073659204794,-0.01438146952003061,0.28288184451174864,-0.29726331403177925,596.336901475159,556.9361148822629,576.636508178711,0.013859772960791439
