date,symbol,news_sentiment,news_articles,wsb_mentions,wsb_rank,wsb_rank_chg,st_bullish,st_bearish,st_watchers,st_bull_ratio
2026-08-21,MSTR,NA,NA,60,11,1,2,0,82297,1
2026-08-22,MSTR,NA,NA,9,20,-10,NA,NA,NA,NA
2026-08-21,MU,NA,NA,131,3,1,NA,NA,NA,NA
2026-08-22,MU,NA,NA,30,5,-2,NA,NA,NA,NA
2026-08-21,NBIS,NA,NA,19,25,-8,NA,NA,NA,NA
2026-08-22,NBIS,NA,NA,5,26,-9,NA,NA,NA,NA
2026-08-22,NDAQ,NA,NA,NA,NA,NA,0,0,6456,NA
2026-08-21,NFLX,NA,NA,7,45,-13,NA,NA,NA,NA
2026-08-21,NOW,NA,NA,7,47,3,NA,NA,NA,NA
2026-08-22,NOW,NA,NA,9,17,33,NA,NA,NA,NA
2026-08-21,NTRS,0.471975,1,NA,NA,NA,NA,NA,NA,NA
2026-08-21,NUVB,NA,NA,NA,NA,NA,0,0,3464,NA
2026-08-21,NVDA,NA,NA,132,2,8,NA,NA,NA,NA
2026-08-22,NVDA,NA,NA,84,2,6,NA,NA,NA,NA
2026-08-22,OI,NA,NA,5,25,335,NA,NA,NA,NA
2026-08-21,ON,0.185902,1,NA,NA,NA,NA,NA,NA,NA
2026-08-21,ONDO.X,NA,NA,NA,NA,NA,0,0,6892,NA
2026-08-21,ONDS,NA,NA,18,28,20,NA,NA,NA,NA
2026-08-22,OXY,NA,NA,NA,NA,NA,0,0,43332,NA
2026-08-21,PAYC,0.419198,1,NA,NA,NA,NA,NA,NA,NA
2026-08-21,PEG,-0.231934,1,NA,NA,NA,NA,NA,NA,NA
2026-08-21,PH,1.79e-4,1,NA,NA,NA,NA,NA,NA,NA
2026-08-21,PKG,0.118886,1,NA,NA,NA,NA,NA,NA,NA
2026-08-21,PLTR,NA,NA,28,17,26,NA,NA,NA,NA
2026-08-22,PLTR,NA,NA,3,45,0,NA,NA,NA,NA
2026-08-21,PM,-0.429832,1,NA,NA,NA,NA,NA,NA,NA
2026-08-21,PPL,-0.229224,1,NA,NA,NA,NA,NA,NA,NA
2026-08-22,PSNL,NA,NA,NA,NA,NA,0,0,2909,NA
2026-08-21,QCOM,0.267692,1,NA,NA,NA,NA,NA,NA,NA
2026-08-21,QQQ,NA,NA,85,6,3,NA,NA,NA,NA
2026-08-22,QQQ,NA,NA,18,11,-6,NA,NA,NA,NA
2026-08-22,QUBT,NA,NA,NA,NA,NA,0,0,33473,NA
2026-08-22,RARE,NA,NA,NA,NA,NA,0,0,3094,NA
2026-08-21,RDDT,NA,NA,57,13,-10,NA,NA,NA,NA
2026-08-22,RDDT,NA,NA,6,24,-20,NA,NA,NA,NA
2026-08-21,RIVN,NA,NA,8,43,25,NA,NA,NA,NA
2026-08-21,RJF,0.118563,1,NA,NA,NA,NA,NA,NA,NA
2026-08-21,RKLB,NA,NA,10,38,-14,NA,NA,NA,NA
2026-08-22,RKLB,NA,NA,3,49,-28,NA,NA,NA,NA
2026-08-21,RNA,NA,NA,18,27,-19,NA,NA,NA,NA
2026-08-22,RNA,NA,NA,6,23,-4,NA,NA,NA,NA
2026-08-21,ROST,0.411384,1,NA,NA,NA,NA,NA,NA,NA
2026-08-22,SBET,NA,NA,NA,NA,NA,0,0,21618,NA
2026-08-21,SLS,NA,NA,59,12,2,1,0,60760,1
2026-08-22,SLS,NA,NA,32,4,30,NA,NA,NA,NA
2026-08-21,SNDK,NA,NA,91,5,2,NA,NA,NA,NA
2026-08-22,SNDK,NA,NA,29,6,0,NA,NA,NA,NA
2026-08-22,SNOW,NA,NA,3,44,369,NA,NA,NA,NA
2026-08-21,SOFI,NA,NA,13,33,29,NA,NA,NA,NA
2026-08-21,SOL.X,NA,NA,NA,NA,NA,0,0,80599,NA
2026-08-21,SOXL,NA,NA,11,35,3,NA,NA,NA,NA
2026-08-21,SPCX,NA,NA,30,16,-3,NA,NA,NA,NA
2026-08-22,SPCX,NA,NA,9,18,-5,NA,NA,NA,NA
2026-08-21,SPGI,0.338783,1,NA,NA,NA,NA,NA,NA,NA
