symbol,price,high_52w,low_52w,last_fetched,industry,market_cap,pe_ratio,pe_forward,pb_ratio,eps,eps_forward,roe,roa,profit_margin,operating_margin,revenue,revenue_per_share,ebitda,ev_ebitda,earningsGrowth,revenue_growth,beta_av,analyst_target,analyst_strong_buy,analyst_buy,analyst_hold,analyst_sell,analyst_strong_sell,shares_outstanding,dividend_yield,peg_ratio,ev_revenue,book_value,company,sector,pe_score,pb_score,roe_score,margin_score,analyst_total,analyst_score,analyst_upside,fundamental_score
LIN,489.58,548.2,385.26,2026-08-25,SPECIALTY CHEMICALS,225894105000,31.45,27.25,5.75,15.58,15.58,0.184,0.0716,0.204,0.281,35449000000,76.2,13822000000,18.18,0.113,0.093,0.726,547.24,4,16,6,1,0,460980000,0.0127,2.08,6.99,84.78,Linde plc Ordinary Shares,BASIC MATERIALS,45,40,65,75,27,71.3,0.11777441888966059,57.13
KEYS,322.7,374.96,158.79,2026-08-28,SCIENTIFIC & TECHNICAL INSTRUMENTS,54814462000,43.26,20.33,8.3,7.44,7.44,0.209,0.0773,0.191,0.25,6582000000,38.44,1788000000,28.53,1.091,0.365,1.21,415.08,3,7,1,0,1,170300000,NA,0.635,8.3,37.08,Keysight Technologies Inc,TECHNOLOGY,25,40,80,75,12,72.9,0.28627207933064763,56.79
IBKR,97.29,98.75,58.76,2026-08-28,CAPITAL MARKETS,165304173000,38.5,35.97,7.54,2.52,2.52,0.24,0.0228,0.165,0.765,6835000000,15.33,NA,3.709,0.353,0.263,1.343,106.13,2,7,2,0,1,453078000,0.0033,1.887,3.319,13.1,Interactive Brokers Group Inc,FINANCIAL SERVICES,25,40,80,75,12,68.8,0.09086237023332294,56.38
UNH,389.41,461.62,254.52,2026-08-27,HEALTHCARE PLANS,355977134000,25.64,20.12,3.636,15.47,15.47,0.141,0.0487,0.0314,0.0713,450525987000,497.54,26681000000,15.61,0.615,0.004,0.632,475.23,6,16,5,0,0,897595000,0.0224,1.228,0.888,108.78,UnitedHealth Group Incorporated,HEALTHCARE,45,60,65,40,27,75.9,0.2203846845227395,56.34
MEDP,593.99,677.9,373,2026-09-01,DIAGNOSTICS & RESEARCH,16765137000,35.84,35.59,39.29,16.76,16.76,1.621,0.201,0.177,0.208,2782288000,98.47,611200000,27.27,0.371,0.172,1.151,581.83,1,3,8,1,0,27911700,NA,3.27,5.99,15.54,Medpace Holdings Inc,HEALTHCARE,25,20,95,75,13,57.7,-0.02047172511321734,55.77
NDSN,321.72,336.69,217.21,2026-08-21,SPECIALTY INDUSTRIAL MACHINERY,18648797000,33.14,24.75,5.39,10.1,10.1,0.171,0.0792,0.182,0.235,2903637000,51.83,911213000,21.42,0.061,0.085,0.964,320.43,0,4,3,0,1,55718000,0,1.913,6.59,57.47,Nordson Corporation,INDUSTRIALS,45,40,65,75,8,56.2,-0.004009697873927702,55.62
TXRH,195.6,216.3,153.17,2026-08-21,RESTAURANTS,13206299000,32.45,30.96,8.54,6.2,6.2,0.277,0.0872,0.0663,0.0851,6231515000,94.4,705438000,20.13,-0.005,0.111,0.797,217.74,2,12,13,1,0,65641000,0.0141,2.445,2.279,23.41,Texas Roadhouse Inc,CONSUMER CYCLICAL,45,40,80,40,28,63.4,0.11319018404907984,55.59
MYRG,291.42,503.57,171.51,2026-08-21,ENGINEERING & CONSTRUCTION,4951022000,30.93,27.03,6.73,10.28,10.28,0.247,0.0848,0.0413,0.062,4006051000,257.75,290834000,16.92,0.865,0.201,1.337,392.5,0,3,4,0,0,15569200,NA,3.409,1.249,48.46,MYR Group Inc,INDUSTRIALS,45,40,80,40,7,60.7,0.3468533388236908,55.32
STRL,470.07,1005.68,266.13,2026-08-21,ENGINEERING & CONSTRUCTION,15922243000,38.47,28.25,12.04,13.53,13.53,0.4,0.145,0.126,0.201,3438486000,112.23,714010000,22.88,1.165,0.901,1.889,905.33,0,7,0,0,0,30588500,NA,0.911,4.717,44.36,"Sterling Infrastructure, Inc.",INDUSTRIALS,25,20,95,60,7,75,0.925947199353288,55.25
ABBV,256.42,267.47,189.4,2026-08-24,DRUG MANUFACTURERS - GENERAL,468215398000,74.64,18.87,50.46,3.55,3.55,0.623,0.105,0.098,0.4,64385999000,36.39,30763000000,27.33,2.904,0.102,0.28,276.59,8,16,6,0,1,1767117000,0.0261,0.433,8.27,-3.359,AbbVie Inc,HEALTHCARE,25,20,95,60,31,74.2,0.0786600109195849,55.17
HOOD,104.81,153.86,63.52,2026-09-01,CAPITAL MARKETS,93738320000,48.49,52.36,10.41,2.15,2.15,0.236,0.0453,0.42,0.439,4932000000,5.5,138119000,44.57,0.476,0.323,2.321,121.51,4,18,4,1,1,790630000,NA,2.491,21.34,10.54,Robinhood Markets Inc,FINANCIAL SERVICES,25,20,80,90,28,70.5,0.1593359412269822,54.8
VEEV,285.69,310.5,148.05,2026-08-29,HEALTH INFORMATION SERVICES,45830128000,46.25,27.03,5.35,6.1,6.1,0.139,0.073,0.284,0.309,3319216000,20.26,1026113000,30.4,0.146,0.163,0.922,260.44,9,13,7,1,0,162443000,NA,1.098,9.45,44.83,Veeva Systems Inc Class A,HEALTHCARE,25,40,65,90,30,75,-0.08838251251356366,54.75
