symbol,last_fetched,company_av,sector_av,industry,market_cap,pe_ratio,pe_forward,pb_ratio,eps,eps_forward,roe,roa,profit_margin,operating_margin,revenue,revenue_per_share,ebitda,ev_ebitda,earningsGrowth,revenue_growth,beta_av,analyst_target,analyst_strong_buy,analyst_buy,analyst_hold,analyst_sell,analyst_strong_sell,shares_outstanding,dividend_yield,peg_ratio,ev_revenue,book_value,high_52w_av,low_52w_av
JNJ,2026-08-14,Johnson & Johnson,HEALTHCARE,DRUG MANUFACTURERS - GENERAL,631586161000,30.3,22.47,7.43,8.65,8.65,0.257,0.086,0.215,0.292,97929003000,40.67,34872001000,19.41,-0.009,0.066,0.231,272.5,5,11,6,1,0,2409899000,0.0201,4.322,6.73,35.28,274.9,170.33
JPM,2026-08-14,JPMorgan Chase & Co,FINANCIAL SERVICES,BANKS - DIVERSIFIED,965213946000,15.65,15.13,2.705,23.2,23.2,0.178,0.0136,0.349,0.504,186328007000,68.35,NA,NA,0.469,0.304,0.977,373.86,3,9,11,0,0,2658186000,0.0164,1.76,5.89,133.01,366.5,276.44
KEYS,2026-08-16,Keysight Technologies Inc,TECHNOLOGY,SCIENTIFIC & TECHNICAL INSTRUMENTS,61149778000,57.44,26.74,9.05,6.23,6.23,0.182,0.0604,0.173,0.188,6088000000,35.6,1430000000,35.1,0.356,0.315,1.21,388.33,3,7,1,0,1,170895000,NA,1.2,9.47,37.08,374.96,152.85
KO,2026-08-14,The Coca-Cola Company,CONSUMER DEFENSIVE,BEVERAGES - NON-ALCOHOLIC,376128831000,26.25,26.32,10.34,3.33,3.33,0.42,0.094,0.286,0.349,50128998000,11.65,16998000000,20.22,0.169,0.067,0.342,94.7,7,12,4,0,1,4302549000,0.024,4.185,8,8.4,90.92,64.04
KRYS,2026-08-07,Krystal Biotech Inc,HEALTHCARE,BIOTECHNOLOGY,9642709000,40.82,45.05,7.88,7.98,7.98,0.201,0.0937,0.548,0.49,440484000,15.08,199293000,49.85,0.388,0.241,0.536,385,0,9,1,0,0,29598800,NA,NA,22.15,43.37,382.54,136.73
KYMR,2026-08-07,Kymera Therapeutics Inc,HEALTHCARE,BIOTECHNOLOGY,8848057000,NA,NA,5.52,-3.28,-3.28,-0.241,-0.156,-2.853,-1.163,105000000,1.126,-339691008,-9.49,0,4.664,1.954,127.18,4,17,3,0,0,83151000,NA,NA,153.93,18.73,130.05,36.65
LIN,2026-08-14,Linde plc Ordinary Shares,BASIC MATERIALS,SPECIALTY CHEMICALS,220440723000,30.87,27.55,5.81,15.49,15.49,0.184,0.0716,0.204,0.281,35449000000,76.2,13822000000,18.35,0.113,0.093,0.726,547.24,4,16,6,1,0,460980000,0.0129,2.1,7.06,84.78,548.2,385.26
LLY,2026-08-14,Eli Lilly and Company,HEALTHCARE,DRUG MANUFACTURERS - GENERAL,1078115303000,40.98,33.9,32.41,29.5,29.5,1.023,0.204,0.335,0.542,79666004000,89.02,41707000000,27.43,0.262,0.477,0.506,1299.01,5,17,4,1,1,891741000,0.0053,1.55,14.36,34.92,1247.66,680.86
LMB,2026-08-07,Limbach Holdings Inc,INDUSTRIALS,BUILDING PRODUCTS & EQUIPMENT,593030000,28.26,18.9,4.353,1.76,1.76,0.186,0.0778,0.0509,0.0092,652555000,55.97,62861000,14.5,-0.576,0.043,1.473,115.6,1,3,1,0,0,11925000,NA,2.289,1.403,16.83,128.57,47.36
LOVE,2026-08-07,The Lovesac Company,CONSUMER CYCLICAL,"FURNISHINGS, FIXTURES & APPLIANCES",252074000,74.87,13.87,1.146,0.23,0.23,0.0187,0.0037,0.0055,-0.126,696938000,47.56,18717000,19.74,0.027,-0.001,2.04,24.17,1,4,0,0,0,14638400,NA,0.396,0.53,14.04,20.88,10.33
