symbol,price_now,price_1m,price_3m,price_6m,price_1y,ret_1m,ret_3m,ret_6m,ret_1y,ma20,ma50,ma200,rsi14,macd_line,macd_signal,macd_hist,bb_upper,bb_lower,bb_pct,vol_annual,avg_vol_30,beta,spy_mean_daily,mean_daily_ret,mean_daily_alpha,sd_daily_alpha,days_in_pull,today_alpha,jensen_alpha_ann,tracking_error,info_ratio,above_ma20,above_ma50,above_ma200,golden_cross,rsi_zone,macd_bullish,trend_score,rsi_score,ret3m_score,ret6m_score,macd_score,momentum_score,days_tracked,cum_alpha_all,alpha_30d,alpha_63d,alpha_hit_rate,hist_mean_alpha,hist_sd_alpha,hist_alpha_ann,hist_ir,confidence_weight,alpha_streak
NFLX,85.849998,92.059998,97.699997,103.959999,121.898003,-0.067456,-0.12129,-0.174202,-0.295723,87.788999,92.921,101.02765,36.665825,-1.901215,-1.906182,0.004968,90.466319,85.111679,0.137884,0.232559,33374635,0.372817,0.001015,-0.001185,-0.0022,0.021181,250,-0.004699,-0.393987,0.336245,-1.64888,FALSE,FALSE,FALSE,FALSE,Neutral,TRUE,15,20,16.326531,8.163265,70,20.280612,2,-0.011096794827999967,-0.011096794827999967,-0.011096794827999967,0,-0.0055635,0.0012225876246715404,-1.402002,-72.23844142735742,0.031746031746031744,0
NVDA,224.360001,198.449997,180.050003,179.589996,137.380005,0.130562,0.246098,0.24929,0.633134,216.753501,200.2648,187.86705,60.391058,1.974047,2.671081,-0.697033,234.700764,198.806238,0.711913,0.421839,170403150,1.788551,0.001015,0.002193,0.001178,0.01783,250,0.059889,0.095179,0.283043,1.048961,TRUE,TRUE,TRUE,TRUE,Neutral,FALSE,100,85,81.632653,89.795918,30,83.19898,2,0.04186346777700001,0.04186346777700001,0.04186346777700001,0.5,0.021440999999999998,0.05437368304612076,5.403131999999999,6.259743760129531,0.031746031746031744,1
ORCL,248.149994,171.830002,149.009995,207.729996,166.570007,0.44416,0.665324,0.194579,0.489764,195.4465,172.9596,207.036699,80.696758,6.458673,4.463684,1.994988,225.818037,165.074963,1.367646,0.63519,22279340,1.719515,0.001015,0.002363,0.001348,0.038887,250,0.096356,0.155569,0.617311,0.550176,TRUE,TRUE,TRUE,FALSE,Overbought,TRUE,80,30,97.959184,77.55102,70,76.397959,2,0.21246338946800014,0.21246338946800014,0.21246338946800014,1,0.1011295,0.00675074843998797,25.484634,237.80786049801316,0.031746031746031744,2
PEP,141.520004,157.410004,164.910004,148.059998,130.910004,-0.100947,-0.141835,-0.044171,0.081048,149.918999,152.9894,150.6268,31.217685,-1.852671,-1.38623,-0.46644,157.612995,142.225004,-0.045815,0.225315,7139150,-0.084411,0.001015,4.05e-4,-6.1e-4,0.01597,250,-0.02124,0.123767,0.253518,-0.606024,FALSE,FALSE,FALSE,TRUE,Neutral,FALSE,15,20,10.204082,36.734694,30,20.158163,2,-0.03772819096000002,-0.03772819096000002,-0.03772819096000002,0,-0.019042999999999997,0.003107027196533689,-4.798836,-97.29501358625787,0.031746031746031744,0
PG,140.279999,147.259995,159.720001,146.710007,167.779999,-0.047399,-0.121713,-0.043828,-0.163905,143.833001,144.352201,149.597151,41.30168,-0.432464,-0.433412,9.48e-4,147.8528,139.813202,0.058062,0.235729,8453015,0.085698,0.001015,-6.51e-4,-0.001666,0.013316,250,-0.025571,-0.185854,0.211387,-1.985666,FALSE,FALSE,FALSE,FALSE,Neutral,TRUE,15,45,14.285714,38.77551,70,29.540816,2,-0.04369245611299999,-0.04369245611299999,-0.04369245611299999,0,-0.022084,0.004931362691994983,-5.565168,-71.09041731819534,0.031746031746031744,0
PM,172.660004,166.380005,177.929993,151.710007,182.75,0.037745,-0.029618,0.138092,-0.055212,181.551502,169.627601,165.70175,42.532627,1.536491,2.673697,-1.137206,197.922363,165.180642,0.228435,0.34195,4893070,-0.017638,0.001015,-7.4e-5,-0.00109,0.019062,250,-0.029333,-0.014234,0.302601,-0.907326,FALSE,TRUE,TRUE,TRUE,Neutral,FALSE,100,45,46.938776,73.469388,30,63.52551,2,-0.03821945638500013,-0.03821945638500013,-0.03821945638500013,0,-0.019244,0.014268000630782157,-4.849488,-21.41078047905969,0.031746031746031744,0
QCOM,228.990005,177.009995,138.130005,175.070007,146.630005,0.293656,0.657786,0.307991,0.561686,214.528501,167.622801,162.8237,59.407544,10.118983,10.261748,-0.142765,258.271067,170.785935,0.665302,1.028617,29157695,1.730164,0.001015,0.002191,0.001176,0.026275,250,-0.090485,0.109485,0.417105,0.7103,TRUE,TRUE,TRUE,TRUE,Neutral,FALSE,100,85,95.918367,93.877551,30,88.30102,2,-0.06385349128499995,-0.06385349128499995,-0.06385349128499995,0.5,-0.030601999999999997,0.08468735075558805,-7.711703999999999,-5.736295744204006,0.031746031746031744,0
RTX,174.410004,173.990005,206.520004,168.449997,137.460007,0.002414,-0.155481,0.035381,0.268805,176.235999,184.9804,180.8377,41.902233,-1.096214,-1.580494,0.484281,180.727953,171.744045,0.296748,0.227368,5835995,0.479964,0.001015,0.001064,4.9e-5,0.015035,250,-0.031945,0.145258,0.238678,0.051227,FALSE,FALSE,FALSE,TRUE,Neutral,TRUE,15,45,6.122449,51.020408,70,29.540816,2,-0.030570361900000065,-0.030570361900000065,-0.030570361900000065,0.5,-0.0152625,0.02359261775428916,-3.84615,-10.269512219206465,0.031746031746031744,0
SPGI,428.559998,426.059998,443.98999,499.880005,513.590027,0.005868,-0.034753,-0.142674,-0.16556,417.822501,424.539401,477.470349,55.910163,-0.452289,-0.880264,0.427975,432.473363,403.171639,0.866446,0.252044,2176220,0.494734,0.001015,-5.74e-4,-0.001589,0.017132,250,0.008032,-0.27123,0.271955,-1.472607,TRUE,TRUE,FALSE,FALSE,Neutral,TRUE,55,85,40.816327,12.244898,70,48.193878,2,0.020773524480000027,0.020773524480000027,0.020773524480000027,1,0.010336,0.0032583480477076116,2.604672,50.35647233033262,0.031746031746031744,2
TMO,494.040009,469.209991,508.100006,580.450012,396.470001,0.052919,-0.027672,-0.148867,0.246097,460.183,480.082598,526.8262,62.850738,-0.169599,-1.593613,1.424014,492.472741,427.89326,1.024269,0.333906,2732000,0.954834,0.001015,0.001068,5.3e-5,0.018107,250,3.83e-4,0.024817,0.287438,0.046142,TRUE,TRUE,FALSE,FALSE,Neutral,TRUE,55,85,51.020408,10.204082,70,50.846939,2,0.008752204178000156,0.008752204178000156,0.008752204178000156,1,0.0043745,0.005644833434212209,1.102374,12.302052039415715,0.031746031746031744,2
