symbol,shares_short,shares_short_prior,short_ratio,settlement_date,float_shares,short_percent_float,short_source,shares_outstanding,short_pct_basis,short_trend,improvement_count,fundamentals_improving,sf_score,dtc_score,fi_score,st_score,squeeze_score_raw,squeeze_mult,squeeze_score,squeeze_tier,short_float_pct
ETSY,9763720,13962269,4.19,2026-07-31,NA,0.11,finra,91782000,shares outstanding,Decreasing,0,FALSE,78.87,63.4,0,80,44.4,1,44.4,Low Signal,10.6%
KRYS,3202260,3496648,4.15,2026-07-31,NA,0.11,finra,29598800,shares outstanding,Decreasing,0,FALSE,79.38,61.86,0,80,44.22,1,44.22,Low Signal,10.8%
WING,4241597,4598134,3.29,2026-07-31,NA,0.16,finra,27242500,shares outstanding,Decreasing,0,FALSE,90.21,47.94,0,80,44.14,1,44.14,Low Signal,15.6%
ANAB,5401866,4999494,7.21,2026-07-31,NA,0.18,finra,29608500,shares outstanding,Increasing,0,FALSE,93.81,87.11,0,20,43.88,1,43.88,Low Signal,18.2%
DKS,7478420,7228781,6.85,2026-07-31,NA,0.11,finra,65932000,shares outstanding,Stable,0,FALSE,81.96,86.6,0,40,43.81,1,43.81,Low Signal,11.3%
YETI,8352671,8178011,6.7,2026-07-31,NA,0.11,finra,72989000,shares outstanding,Stable,0,FALSE,82.47,85.57,0,40,43.73,1,43.73,Low Signal,11.4%
XENE,5384476,6337096,7.33,2026-07-31,NA,0.06,finra,96840000,shares outstanding,Decreasing,0,FALSE,55.15,89.18,0,80,43.62,1,43.62,Low Signal,5.6%
SOUN,162745724,169194715,4.18,2026-07-31,NA,0.4,finra,411574000,shares outstanding,Stable,0,FALSE,100,62.89,0,40,43.58,1,43.58,Low Signal,39.5%
RARE,14963396,13435087,8.28,2026-07-31,NA,0.15,finra,98589000,shares outstanding,Increasing,0,FALSE,89.69,90.72,0,20,43.57,1,43.57,Low Signal,15.2%
QRVO,6555540,6987222,5.1,2026-07-31,NA,0.07,finra,88222000,shares outstanding,Decreasing,0,FALSE,64.95,75.77,0,80,43.39,1,43.39,Low Signal,7.4%
VITL,8743305,7978805,6.12,2026-07-31,NA,0.2,finra,42931500,shares outstanding,Increasing,0,FALSE,95.36,82.47,0,20,43.34,1,43.34,Low Signal,20.4%
TEAM,15775781,17645455,4.03,2026-07-31,NA,0.1,finra,159634000,shares outstanding,Decreasing,0,FALSE,75.77,59.79,0,80,42.9,1,42.9,Low Signal,9.9%
DOCU,15123951,16753240,4.64,2026-07-31,NA,0.08,finra,190945000,shares outstanding,Decreasing,0,FALSE,67.53,69.59,0,80,42.8,1,42.8,Low Signal,7.9%
