symbol,last_fetched,company_av,sector_av,industry,market_cap,pe_ratio,pe_forward,pb_ratio,eps,eps_forward,roe,roa,profit_margin,operating_margin,revenue,revenue_per_share,ebitda,ev_ebitda,earningsGrowth,revenue_growth,beta_av,analyst_target,analyst_strong_buy,analyst_buy,analyst_hold,analyst_sell,analyst_strong_sell,shares_outstanding,dividend_yield,peg_ratio,ev_revenue,book_value,high_52w_av,low_52w_av
COST,2026-07-25,Costco Wholesale Corp,CONSUMER DEFENSIVE,DISCOUNT STORES,410687996000,46.72,40.98,12.27,19.82,19.82,0.291,0.0867,0.0301,0.0367,293586993000,661.29,13790000000,27.61,0.455,0.215,0.872,1076.91,3,19,13,1,1,443479000,0.0058,4.499,1.36,37.28,1094.76,840.35
CRM,2026-07-25,Salesforce.com Inc,TECHNOLOGY,SOFTWARE - APPLICATION,139279139000,19.73,11.98,3.899,8.26,8.26,0.169,0.057,0.187,0.218,42829001000,46.2,12895000000,11.95,0.522,0.133,1.178,241.72,6,34,10,0,2,819000000,0.0099,0.677,3.818,41.8,271.7,146.32
CVX,2026-07-25,Chevron Corp,ENERGY,OIL & GAS INTEGRATED,387206414000,33.7,13.42,2.092,5.77,5.77,0.0664,0.0346,0.0593,0.0731,185740001000,97.35,37906002000,10.21,-0.445,0.023,0.488,214.13,5,13,5,1,0,1991598000,0.0358,0.794,2.283,92.91,212.76,143.75
DHR,2026-07-25,Danaher Corporation,HEALTHCARE,DIAGNOSTICS & RESEARCH,135324811000,31.92,21.19,2.395,6.03,6.03,0.0761,0.0395,0.16,0.198,25106999000,35.47,8028000000,19.53,0.597,0.055,0.823,228.61,4,18,4,0,0,702986000,0.008,1.178,5.9,74.82,241.78,160.6
GE,2026-07-25,GE Aerospace,INDUSTRIALS,AEROSPACE & DEFENSE,362109305000,40.16,45.25,20.07,8.69,8.69,0.482,0.0507,0.177,0.206,50639000000,48.27,11483000000,29.06,0.194,0.211,1.348,403.76,3,16,1,0,2,1037563000,0.0049,5.2,7.18,17.31,382.49,260.39
GOOGL,2026-07-25,Alphabet Inc Class A,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,3885328237000,17.15,24.27,6.71,18.52,18.52,0.487,0.13,0.548,0.34,445865984000,36.84,172864995000,21.46,2.941,0.242,1.247,433.55,14,44,7,0,0,5867156000,0.0012,1.347,9.11,39.51,408.37,187.29
HD,2026-07-25,The Home Depot Inc,CONSUMER CYCLICAL,HOME IMPROVEMENT RETAIL,337892934000,23.53,22.27,23.82,13.8,13.8,1.284,0.125,0.0841,0.119,166592004000,167.68,24946000000,15.65,-0.043,0.048,0.951,370.34,4,17,15,0,0,997117000,0.0209,1.869,2.353,13.92,418.06,286.95
HON,2026-07-25,Honeywell International Inc,INDUSTRIALS,CONGLOMERATES,77063963000,9.35,14.71,4.138,26.01,26.01,0.466,0.0564,0.216,0.184,38057001000,119.9,8407000000,7.65,2.639,-0.061,0.93,252.5,3,12,8,1,1,316940000,0.0188,9.19,2.702,42.89,258.86,193.84
IBM,2026-07-25,International Business Machines,TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,194692071000,18.29,16.89,5.61,11.3,11.3,0.345,0.053,0.155,0.162,69094998000,73.7,16476000000,14.26,-0.018,0.011,0.675,262.85,3,12,7,0,1,942134000,0.0163,1.988,3.626,35.08,332.46,199.19
INTU,2026-07-25,Intuit Inc,TECHNOLOGY,SOFTWARE - APPLICATION,77008871000,17.18,10.45,3.772,16.39,16.39,0.225,0.0947,0.219,0.47,20925000000,75.14,6410000000,11.02,0.107,0.104,0.996,462.53,5,22,6,1,0,273537000,0.0163,0.738,3.645,75.22,804.66,251.72
ISRG,2026-07-18,Intuitive Surgical Inc,HEALTHCARE,MEDICAL INSTRUMENTS & SUPPLIES,142490337000,47.17,37.45,7.88,8.53,8.53,0.172,0.102,0.281,0.309,10582100000,29.7,3885600000,33.73,0.188,0.23,1.46,549.66,6,16,9,1,1,354163000,NA,2.035,12.59,49.31,603.88,344.55
JNJ,2026-07-18,Johnson & Johnson,HEALTHCARE,DRUG MANUFACTURERS - GENERAL,601732022000,28.67,21.37,7.32,8.72,8.72,0.264,0.0842,0.215,0.283,97929003000,40.51,34788999000,23.69,-0.01,0.066,0.235,267.36,5,10,7,1,0,2407217000,0.0105,4.745,6.41,33.73,269.43,158.8
