symbol,date,close
NVDA,2025-04-16,104.49
PANW,2025-04-16,169.76
SPY,2025-04-16,525.66
TSLA,2025-04-16,241.55
UNH,2025-04-16,585.04
WMT,2025-04-16,91.19
XOM,2025-04-16,104.19
AAPL,2025-04-17,196.98
AMD,2025-04-17,87.5
AMZN,2025-04-17,172.61
CRM,2025-04-17,247.26
CRWD,2025-04-17,93.905
DUOL,2025-04-17,326.5
GOOGL,2025-04-17,151.16
JPM,2025-04-17,231.96
META,2025-04-17,501.48
MSFT,2025-04-17,367.78
NVDA,2025-04-17,101.49
PANW,2025-04-17,167.69
SPY,2025-04-17,526.41
TSLA,2025-04-17,241.37
UNH,2025-04-17,454.11
WMT,2025-04-17,93.22
XOM,2025-04-17,106.92
AAPL,2025-04-21,193.16
AMD,2025-04-21,85.56
AMZN,2025-04-21,167.32
CRM,2025-04-21,236.26
CRWD,2025-04-21,90.6725
DUOL,2025-04-21,316.07
GOOGL,2025-04-21,147.67
JPM,2025-04-21,228.99
META,2025-04-21,484.66
MSFT,2025-04-21,359.12
NVDA,2025-04-21,96.91
PANW,2025-04-21,160.05
SPY,2025-04-21,513.88
TSLA,2025-04-21,227.5
UNH,2025-04-21,425.33
WMT,2025-04-21,92.41
XOM,2025-04-21,105.35
AAPL,2025-04-22,199.74
AMD,2025-04-22,86.26
AMZN,2025-04-22,173.18
CRM,2025-04-22,243.39
CRWD,2025-04-22,92.1125
DUOL,2025-04-22,336.34
GOOGL,2025-04-22,151.47
JPM,2025-04-22,235.59
META,2025-04-22,500.28
MSFT,2025-04-22,366.82
NVDA,2025-04-22,98.89
PANW,2025-04-22,163.63
SPY,2025-04-22,527.25
TSLA,2025-04-22,237.97
UNH,2025-04-22,427.18
WMT,2025-04-22,94.85
XOM,2025-04-22,108.3
AAPL,2025-04-23,204.6
AMD,2025-04-23,90.39
AMZN,2025-04-23,180.6
CRM,2025-04-23,250.48
CRWD,2025-04-23,96.4375
DUOL,2025-04-23,370
GOOGL,2025-04-23,155.35
JPM,2025-04-23,240.88
META,2025-04-23,520.27
MSFT,2025-04-23,374.39
NVDA,2025-04-23,102.71
PANW,2025-04-23,168.32
SPY,2025-04-23,535.42
TSLA,2025-04-23,250.74
UNH,2025-04-23,427.96
WMT,2025-04-23,94.96
XOM,2025-04-23,107.37
AAPL,2025-04-24,208.37
AMD,2025-04-24,94.47
AMZN,2025-04-24,186.54
CRM,2025-04-24,264.7
CRWD,2025-04-24,103.5125
DUOL,2025-04-24,375.02
GOOGL,2025-04-24,159.28
JPM,2025-04-24,244.64
META,2025-04-24,533.15
MSFT,2025-04-24,387.3
NVDA,2025-04-24,106.43
PANW,2025-04-24,176.04
SPY,2025-04-24,546.69
TSLA,2025-04-24,259.51
UNH,2025-04-24,424.25
WMT,2025-04-24,95.84
XOM,2025-04-24,108.63
AAPL,2025-04-25,209.28
AMD,2025-04-25,96.65
AMZN,2025-04-25,188.99
CRM,2025-04-25,267.85
CRWD,2025-04-25,106.22
DUOL,2025-04-25,381.83
GOOGL,2025-04-25,161.96
JPM,2025-04-25,243.55
META,2025-04-25,547.27
MSFT,2025-04-25,391.85
NVDA,2025-04-25,111.01
PANW,2025-04-25,178.98
SPY,2025-04-25,550.64
TSLA,2025-04-25,284.95
UNH,2025-04-25,418.64
WMT,2025-04-25,95.09
XOM,2025-04-25,108.57
AAPL,2025-04-28,210.14
AMD,2025-04-28,96.39
AMZN,2025-04-28,187.7
CRM,2025-04-28,265.64
CRWD,2025-04-28,105.77
DUOL,2025-04-28,384.34
GOOGL,2025-04-28,160.61
JPM,2025-04-28,243.22
META,2025-04-28,549.74
MSFT,2025-04-28,391.16
NVDA,2025-04-28,108.73
PANW,2025-04-28,181.54
SPY,2025-04-28,550.85
TSLA,2025-04-28,285.88
UNH,2025-04-28,420
WMT,2025-04-28,95.22
XOM,2025-04-28,108.63
AAPL,2025-04-29,211.21
AMD,2025-04-29,96.06
AMZN,2025-04-29,187.39
CRM,2025-04-29,267.76
CRWD,2025-04-29,107.7475
DUOL,2025-04-29,385.13
GOOGL,2025-04-29,160.16
JPM,2025-04-29,244.62
META,2025-04-29,554.44
MSFT,2025-04-29,394.04
NVDA,2025-04-29,109.02
PANW,2025-04-29,186.65
SPY,2025-04-29,554.32
TSLA,2025-04-29,292.03
UNH,2025-04-29,409.23
WMT,2025-04-29,96.04
XOM,2025-04-29,108.36
AAPL,2025-04-30,212.5
AMD,2025-04-30,97.35
AMZN,2025-04-30,184.42
CRM,2025-04-30,268.71
CRWD,2025-04-30,107.2175
DUOL,2025-04-30,389.48
GOOGL,2025-04-30,158.8
JPM,2025-04-30,244.62
META,2025-04-30,549
MSFT,2025-04-30,395.26
NVDA,2025-04-30,108.92
PANW,2025-04-30,186.93
SPY,2025-04-30,554.54
TSLA,2025-04-30,282.16
UNH,2025-04-30,411.44
WMT,2025-04-30,97.25
XOM,2025-04-30,105.63
AAPL,2025-05-01,213.32
AMD,2025-05-01,96.65
AMZN,2025-05-01,190.2
CRM,2025-05-01,269.33
CRWD,2025-05-01,107.97
DUOL,2025-05-01,400
GOOGL,2025-05-01,161.3
JPM,2025-05-01,246.89
META,2025-05-01,572.21
MSFT,2025-05-01,425.4
NVDA,2025-05-01,111.61
PANW,2025-05-01,186.27
SPY,2025-05-01,558.47
TSLA,2025-05-01,280.52
UNH,2025-05-01,400.68
WMT,2025-05-01,97.41
XOM,2025-05-01,105.78
AAPL,2025-05-02,205.35
AMD,2025-05-02,98.8
AMZN,2025-05-02,189.98
CRM,2025-05-02,275.08
CRWD,2025-05-02,110.145
DUOL,2025-05-02,486.42
GOOGL,2025-05-02,164.03
JPM,2025-05-02,252.51
META,2025-05-02,597.02
MSFT,2025-05-02,435.28
NVDA,2025-05-02,114.5
PANW,2025-05-02,187.7
SPY,2025-05-02,566.76
TSLA,2025-05-02,287.21
UNH,2025-05-02,399.92
WMT,2025-05-02,98.75
XOM,2025-05-02,106.21
AAPL,2025-05-05,198.89
AMD,2025-05-05,100.59
AMZN,2025-05-05,186.35
CRM,2025-05-05,272.63
CRWD,2025-05-05,110.8675
DUOL,2025-05-05,494.13
GOOGL,2025-05-05,164.21
JPM,2025-05-05,252.56
META,2025-05-05,599.27
MSFT,2025-05-05,436.17
NVDA,2025-05-05,113.82
PANW,2025-05-05,188.13
SPY,2025-05-05,563.51
TSLA,2025-05-05,280.26
UNH,2025-05-05,404.81
WMT,2025-05-05,99.33
XOM,2025-05-05,103.27
AAPL,2025-05-06,198.51
AMD,2025-05-06,98.62
AMZN,2025-05-06,185.01
CRM,2025-05-06,273.36
CRWD,2025-05-06,110.8025
DUOL,2025-05-06,490.55
GOOGL,2025-05-06,163.23
JPM,2025-05-06,249.25
META,2025-05-06,587.31
MSFT,2025-05-06,433.31
NVDA,2025-05-06,113.54
PANW,2025-05-06,188.69
SPY,2025-05-06,558.8
TSLA,2025-05-06,275.35
UNH,2025-05-06,394.51
WMT,2025-05-06,98.55
XOM,2025-05-06,104.71
AAPL,2025-05-07,196.25
AMD,2025-05-07,100.36
AMZN,2025-05-07,188.71
CRM,2025-05-07,278.23
CRWD,2025-05-07,105.63
DUOL,2025-05-07,495.56
GOOGL,2025-05-07,151.38
JPM,2025-05-07,249.39
META,2025-05-07,596.81
MSFT,2025-05-07,433.35
NVDA,2025-05-07,117.06
PANW,2025-05-07,188.14
SPY,2025-05-07,561.15
TSLA,2025-05-07,276.22
UNH,2025-05-07,391.06
WMT,2025-05-07,98.83
XOM,2025-05-07,104.61
AAPL,2025-05-08,197.49
AMD,2025-05-08,101.7
AMZN,2025-05-08,192.08
CRM,2025-05-08,279.74
CRWD,2025-05-08,107.1575
DUOL,2025-05-08,503.57
GOOGL,2025-05-08,154.28
JPM,2025-05-08,253.47
META,2025-05-08,598.01
MSFT,2025-05-08,438.17
NVDA,2025-05-08,117.37
PANW,2025-05-08,188.53
SPY,2025-05-08,565.06
TSLA,2025-05-08,284.82
UNH,2025-05-08,385.55
WMT,2025-05-08,97.43
XOM,2025-05-08,106.07
AAPL,2025-05-09,198.53
AMD,2025-05-09,102.84
AMZN,2025-05-09,193.06
CRM,2025-05-09,275.42
CRWD,2025-05-09,102.6425
DUOL,2025-05-09,512.75
GOOGL,2025-05-09,152.75
JPM,2025-05-09,253.08
META,2025-05-09,592.49
MSFT,2025-05-09,438.73
NVDA,2025-05-09,116.65
PANW,2025-05-09,186.93
SPY,2025-05-09,564.34
TSLA,2025-05-09,298.26
UNH,2025-05-09,380.64
WMT,2025-05-09,96.72
XOM,2025-05-09,107.31
AAPL,2025-05-12,210.79
AMD,2025-05-12,108.12
AMZN,2025-05-12,208.64
CRM,2025-05-12,288.82
CRWD,2025-05-12,107.36
DUOL,2025-05-12,517.83
GOOGL,2025-05-12,158.46
JPM,2025-05-12,260.05
META,2025-05-12,639.43
MSFT,2025-05-12,449.26
NVDA,2025-05-12,123
PANW,2025-05-12,193.5
SPY,2025-05-12,582.99
TSLA,2025-05-12,318.38
UNH,2025-05-12,378.75
WMT,2025-05-12,96.75
XOM,2025-05-12,109.16
AAPL,2025-05-13,212.93
AMD,2025-05-13,112.46
AMZN,2025-05-13,211.37
CRM,2025-05-13,289.17
CRWD,2025-05-13,110.05
DUOL,2025-05-13,531.46
GOOGL,2025-05-13,159.53
JPM,2025-05-13,263.01
META,2025-05-13,656.03
MSFT,2025-05-13,449.14
NVDA,2025-05-13,129.93
PANW,2025-05-13,192
SPY,2025-05-13,586.84
TSLA,2025-05-13,334.07
UNH,2025-05-13,311.38
WMT,2025-05-13,95.88
XOM,2025-05-13,109.46
AAPL,2025-05-14,212.33
AMD,2025-05-14,117.72
AMZN,2025-05-14,210.25
CRM,2025-05-14,290.74
CRWD,2025-05-14,108.985
DUOL,2025-05-14,540.68
GOOGL,2025-05-14,165.37
JPM,2025-05-14,265.64
META,2025-05-14,659.36
MSFT,2025-05-14,452.94
NVDA,2025-05-14,135.34
PANW,2025-05-14,190.9
SPY,2025-05-14,587.59
TSLA,2025-05-14,347.68
UNH,2025-05-14,308.01
WMT,2025-05-14,96.83
XOM,2025-05-14,108.48
AAPL,2025-05-15,211.45
AMD,2025-05-15,114.99
AMZN,2025-05-15,205.17
CRM,2025-05-15,290.76
CRWD,2025-05-15,107.96
DUOL,2025-05-15,530.52
GOOGL,2025-05-15,163.96
JPM,2025-05-15,267.49
META,2025-05-15,643.88
MSFT,2025-05-15,453.13
NVDA,2025-05-15,134.83
PANW,2025-05-15,192.9
SPY,2025-05-15,590.46
TSLA,2025-05-15,342.82
UNH,2025-05-15,274.35
WMT,2025-05-15,96.35
XOM,2025-05-15,108.58
AAPL,2025-05-16,211.26
AMD,2025-05-16,117.17
AMZN,2025-05-16,205.59
CRM,2025-05-16,291.15
CRWD,2025-05-16,109.815
DUOL,2025-05-16,529.05
GOOGL,2025-05-16,166.19
JPM,2025-05-16,267.56
META,2025-05-16,640.34
MSFT,2025-05-16,454.27
NVDA,2025-05-16,135.4
PANW,2025-05-16,192.98
SPY,2025-05-16,594.2
TSLA,2025-05-16,349.98
UNH,2025-05-16,291.91
WMT,2025-05-16,98.24
XOM,2025-05-16,108.19
AAPL,2025-05-19,208.78
AMD,2025-05-19,114.74
AMZN,2025-05-19,206.16
CRM,2025-05-19,287.63
CRWD,2025-05-19,111.0875
DUOL,2025-05-19,520.23
GOOGL,2025-05-19,166.54
JPM,2025-05-19,264.88
META,2025-05-19,640.43
MSFT,2025-05-19,458.87
NVDA,2025-05-19,135.57
PANW,2025-05-19,194.3
SPY,2025-05-19,594.85
TSLA,2025-05-19,342.09
UNH,2025-05-19,315.89
WMT,2025-05-19,98.12
XOM,2025-05-19,106.47
AAPL,2025-05-20,206.86
AMD,2025-05-20,113.51
AMZN,2025-05-20,204.07
CRM,2025-05-20,288.06
CRWD,2025-05-20,110.5625
DUOL,2025-05-20,525.73
GOOGL,2025-05-20,163.98
JPM,2025-05-20,265.68
META,2025-05-20,637.1
MSFT,2025-05-20,458.17
NVDA,2025-05-20,134.38
PANW,2025-05-20,194.48
SPY,2025-05-20,592.85
TSLA,2025-05-20,343.82
UNH,2025-05-20,321.58
WMT,2025-05-20,97.8
XOM,2025-05-20,104.95
AAPL,2025-05-21,202.09
AMD,2025-05-21,112.06
AMZN,2025-05-21,201.12
CRM,2025-05-21,282.28
CRWD,2025-05-21,108.685
