symbol,company,sector,industry,price,prev_close,vwap,market_cap,shares_outstanding,ret_1d,ret_5d,ret_1m,ret_3m,ret_6m,ret_1y,rsi14,adx,macd,macd_signal,bb_pct,sma20,sma50,sma200,above_ma20,above_ma50,above_ma200,golden_cross,trend_strength,range_pct,vol_20d,vol_60d,vol_252d,avg_vol_20d,pe_ratio,pb_ratio,ps_ratio,peg_ratio,roe,roa,roic,profit_margin,gross_margin,operating_margin,debt_equity,current_ratio,interest_coverage,revenue_growth,earnings_growth,fcf_growth,eps_growth,dcf_value,dcf_upside,eps,eps_estimate,eps_surprise_pct,earnings_beat_count,analyst_score,strong_buy,buy,hold,sell,total_analysts,beta,short_ratio,short_pct,adj_close_tiingo,tiingo_ret1m,sec_revenue,sec_net_income,high_52w,low_52w,fed_rate,yield_spread,vix,regime,data_confidence,last_updated
FDX,NA,NA,NA,352.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.27,NA,0.3101,1.9106,0.092,374.15,345.81,268.83,FALSE,TRUE,TRUE,TRUE,55,81,23.14,24.96,32.28,1626520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.1,8,13,10,3,34,1.3222839,NA,NA,NA,NA,NA,NA,388.48,198.07,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17
GD,NA,NA,NA,354.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.02,14.59467,0.1746,0.3457,0.474,355.06,356,329.82,FALSE,FALSE,TRUE,TRUE,50,88.2,21.83,24.43,22.16,1190285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.3,6,15,10,1,32,0.3704469,NA,NA,356.29,4.02,NA,NA,368.69,247.68,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17
GE,NA,NA,NA,304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.96,NA,-0.866,0.6044,0.018,329.95,319.73,290.85,FALSE,FALSE,TRUE,TRUE,50,76.7,37.1,35.58,32.12,5188635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.3,9,17,3,1,30,1.4708787,NA,NA,302.09,-7.505,NA,NA,345.74,166.81,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17
GILD,NA,NA,NA,145.21,145.21,144.9722,NA,NA,NA,NA,NA,NA,NA,NA,49.25,19.50143,0.4798,1.1615,0.269,147.98,140.35,122.4,FALSE,TRUE,TRUE,TRUE,40,82,22.86,29.62,28.6,6439525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.86,1.85,0.54,4,76.3,10,20,8,0,38,0.409044,NA,NA,144.4,-6.475,NA,NA,155.8,96.91,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17
HD,NA,NA,NA,342.58,342.58,342.7414,NA,NA,NA,NA,NA,NA,NA,NA,32.23,28.717,-2.5301,-1.5134,0.1,366.44,372.22,375.96,FALSE,FALSE,FALSE,FALSE,40,11.2,24.17,23.09,23.59,4003700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.72,2.52,7.94,1,69.6,10,19,15,1,46,1.0653367,NA,NA,341.43,-10.25,NA,NA,423.42,332.38,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17
HLT,NA,NA,NA,296,296,296.3705,NA,NA,NA,NA,NA,NA,NA,NA,41.47,28.27746,-1.0754,-0.344,0.176,306.6,304.14,277.39,FALSE,FALSE,TRUE,TRUE,45,76.5,20.95,22.01,26.27,1933425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.4,5,12,14,1,32,1.1437068,NA,NA,301.31,-5.149,NA,NA,325.13,201.28,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17
HON,NA,NA,NA,234.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.17,32.61676,0.5588,1.408,0.107,240.67,229.17,210.14,FALSE,TRUE,TRUE,TRUE,50,82.1,20.63,22.53,24.95,3626390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.4,5,16,12,1,34,0.92943436,NA,NA,231.42,-4.162,NA,NA,248.04,172.35,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17
IQV,NA,NA,NA,164.89,164.89,165.1404,NA,NA,NA,NA,NA,NA,NA,NA,36.89,38.22103,-4.5029,-4.9954,0.272,170.09,201.29,194.97,FALSE,FALSE,FALSE,TRUE,50,26,44.96,49.35,42.66,2355875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.42,3.4,0.59,3,78.3,10,14,6,0,30,1.3685747,NA,NA,168.43,2.426,NA,NA,244.29,137,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17
ISRG,NA,NA,NA,483.46,483.46,482.4738,NA,NA,NA,NA,NA,NA,NA,NA,42.51,29.14639,-1.5298,-1.3887,0.187,494.46,513.75,510.91,FALSE,FALSE,FALSE,TRUE,55,33,24.07,24.63,34.78,1675740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.53,2.26,11.95,4,72.6,10,19,12,1,42,1.6527596,NA,NA,482.76,-2.147,NA,NA,592.85,429.59,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17
KO,NA,NA,NA,77.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.7,21.034447,0.3819,0.968,0.292,78.97,75.6,71.02,FALSE,TRUE,TRUE,TRUE,50,76.5,14.42,16.25,17.01,17199370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.1,9,20,6,0,35,0.35396108,NA,NA,77.58,-1.82,NA,NA,81.56,65.67,3.64,0.5500000000000003,23.51,NEUTRAL,50,2026-03-17
